Age,Day,Train Min  1 Freezing,Train Min  1 Freezing,Train Min  1 Freezing,Train Min  1 Freezing,Train Min  1 Freezing,Test Freezing
17,1,10.79,11.62,13.69,79.67,84.17,69.47
17,1,10.79,4.98,91.70,83.40,70.42,64.41
17,1,6.22,9.13,9.96,77.18,90.83,75.41
17,1,0.00,0.00,42.74,71.78,82.92,32.62
17,1,3.32,18.26,53.94,76.76,66.25,25.91
17,1,0.00,0.00,39.42,51.87,79.17,71.18
17,1,3.32,0.00,82.01,75.00,88.28,65.35
17,1,2.49,0.00,46.44,34.17,52.72,48.59
17,1,0.00,1.67,62.34,89.17,92.05,38.13
17,7,0.00,0.00,1.69,63.16,88.50,49.69
17,7,24.58,3.33,73.42,75.44,91.59,38.97
17,7,0.00,0.00,68.35,79.39,80.97,89.46
17,7,0.00,2.07,23.65,47.72,74.48,51.49
17,7,0.00,2.07,46.06,87.14,87.87,10.41
17,7,3.73,0.00,4.18,5.39,43.75,1.27
17,7,15.35,0.00,46.89,60.58,80.83,4.74
17,7,12.45,0.00,37.76,90.04,95.42,4.00
17,7,2.07,4.56,23.65,65.15,74.58,6.05
17,14,0.00,11.67,6.25,84.17,87.45,0.67
17,14,2.07,0.00,34.17,59.58,94.14,4.24
17,14,14.89,12.08,42.92,85.00,89.12,0.52
17,14,0.00,2.08,83.75,86.25,84.52,5.58
17,14,2.07,14.17,77.92,83.75,74.48,0.00
17,14,0.00,10.42,17.92,55.00,73.64,0.00
17,14,1.67,9.96,47.72,74.69,83.33,3.09
17,14,32.92,24.90,84.65,36.93,67.92,6.45
17,14,12.08,24.48,16.60,83.82,58.75,8.96
17,28,0.00,0.00,34.85,48.55,71.67,0.00
17,28,11.20,13.69,74.27,81.74,58.75,1.33
17,28,6.64,1.66,79.67,82.99,90.38,5.48
17,28,7.05,2.90,61.00,63.90,90.79,0.00
17,28,0.00,3.73,63.49,75.93,72.08,0.00
17,28,0.00,4.56,35.68,14.11,56.25,0.42
17,28,1.66,26.56,12.86,59.34,78.33,6.06
17,28,7.47,9.13,64.85,51.45,74.58,0.00
17,28,0.00,4.56,34.73,16.60,87.08,0.00
60,1,0.00,0.00,0.00,7.88,34.17,60.69
60,1,0.00,0.00,0.00,8.71,38.33,66.90
60,1,0.00,0.00,1.66,59.34,62.08,82.78
60,1,0.00,0.00,0.00,14.11,66.25,87.05
60,1,0.00,0.00,0.00,35.27,62.92,81.65
60,1,0.00,0.00,0.00,27.80,79.58,84.65
60,1,0.00,0.00,0.00,19.92,76.67,87.97
60,1,2.07,2.49,2.07,1.66,19.58,64.78
60,1,0.00,0.00,0.00,48.55,63.33,57.22
60,7,0.00,0.00,1.66,4.15,31.25,75.08
60,7,0.00,0.00,0.00,45.23,21.25,83.73
60,7,0.00,0.00,0.00,15.77,12.08,73.59
60,7,0.00,0.00,2.07,8.71,55.00,80.91
60,7,0.00,0.00,7.05,47.30,64.17,87.63
60,7,0.00,0.00,1.66,16.18,40.83,74.52
60,7,0.00,0.00,40.25,66.80,82.50,79.17
60,7,0.00,0.00,1.66,52.28,88.33,75.93
60,14,0.00,0.00,0.00,56.02,83.33,87.08
60,14,0.00,4.15,0.00,26.56,35.00,76.18
60,14,0.00,0.00,0.00,23.24,49.17,84.07
60,14,0.00,0.00,4.56,38.59,51.67,77.53
60,14,0.00,0.00,24.90,35.68,72.08,79.25
60,14,0.00,0.00,0.00,10.79,10.83,82.81
60,14,0.00,0.00,0.00,29.46,28.33,59.23
60,14,0.00,0.00,0.00,12.45,52.50,78.34
60,28,0.00,0.00,0.00,11.20,69.58,71.03
60,28,0.00,0.00,1.67,21.16,26.67,83.94
60,28,0.00,1.66,0.00,0.00,20.83,61.12
60,28,0.00,0.00,1.25,42.74,45.42,86.60
60,28,0.00,4.15,4.15,22.82,39.58,90.31
60,28,0.00,0.00,4.15,52.28,51.25,77.82
60,28,0.00,0.00,0.00,14.52,44.58,49.64
60,28,0.00,2.90,3.73,37.34,56.25,70.76
60,28,0.00,3.73,19.50,67.22,50.83,80.03
