Species,Age,Ki67+ cells,DCX+ cells,Ki67 fold change,DCX fold change
Mouse,17,0.93,2.05,5.24,4.40
Mouse,17,0.53,2.08,3.00,4.47
Mouse,17,1.25,2.35,7.05,5.06
Mouse,17,0.63,1.99,3.53,4.27
Mouse,17,0.90,n,5.07,n
Mouse,60,0.19,0.38,1.05,0.82
Mouse,60,0.18,0.50,1.02,1.08
Mouse,60,0.08,0.49,0.43,1.05
Mouse,60,0.27,0.49,1.50,1.05
Degu,17,3.00,3.15,2.19,2.63
Degu,17,2.51,2.12,1.83,1.76
Degu,17,1.88,2.02,1.37,1.68
Degu,60,1.33,1.37,0.97,1.14
Degu,60,1.58,1.20,1.15,1.00
Degu,60,1.39,1.22,1.02,1.02
Degu,60,1.17,1.01,0.86,0.84
GP,17,1.68,1.41,1.51,2.20
GP,17,1.54,1.58,1.39,2.47
GP,17,2.06,1.76,1.86,2.75
GP,17,1.38,1.80,1.24,2.81
GP,60,1.19,0.74,1.07,1.15
GP,60,0.85,0.34,0.77,0.54
GP,60,1.30,0.95,1.17,1.49
GP,60,1.09,0.53,0.99,0.82
