Age,Day,Train Day 1 Latency,Train Day 2 Latency,Train Day 3 Latency,Train Day 1 Latency,Train Day 2 Latency,Probe Latency
60,1,50.82,20.49,29.13,15.62,16.36,6.93
60,1,40.45,13.00,25.47,15.25,25.39,42.57
60,1,27.49,20.61,16.38,13.56,8.07,17.51
60,1,34.05,23.54,11.08,15.18,10.72,8.95
60,1,32.49,46.00,26.91,8.32,8.41,22.54
60,1,19.41,22.13,20.43,7.49,5.74,7.54
60,1,33.87,24.36,34.12,33.54,19.11,11.49
60,1,24.55,23.25,14.65,20.52,17.09,13.09
60,28,45.49,37.11,26.73,48.04,33.03,16.39
60,28,33.12,22.34,43.33,18.59,29.04,27.09
60,28,38.73,17.34,8.00,6.72,6.10,9.45
60,28,39.82,16.76,10.82,8.02,8.97,21.05
60,28,38.92,8.52,6.50,6.10,5.54,10.73
60,28,48.55,27.16,40.34,27.06,43.98,10.46
60,28,42.90,7.12,7.35,6.17,13.31,17.15
60,28,50.26,23.22,43.12,21.05,14.47,24.82
17,1,57.47,25.56,17.53,19.22,31.39,33.79
17,1,45.13,26.90,41.28,35.63,38.56,41.95
17,1,45.60,41.46,17.11,9.10,26.33,9.20
17,1,30.86,41.04,41.12,37.43,39.41,41.08
17,1,55.60,30.29,18.28,17.42,27.19,11.84
17,1,26.40,36.10,45.45,18.90,27.24,37.93
17,1,50.95,44.20,38.12,35.65,27.62,33.64
17,1,33.64,31.73,30.05,29.16,28.35,39.19
17,28,42.98,36.31,17.55,12.57,3.64,5.69
17,28,60.00,60.00,53.86,43.81,37.29,6.68
17,28,57.96,56.16,30.83,10.76,11.02,24.32
17,28,53.65,52.46,40.34,27.43,21.95,42.20
17,28,60.00,50.73,37.11,35.79,34.83,10.18
17,28,55.84,41.46,28.51,41.30,50.95,55.95
17,28,43.58,44.95,30.80,17.51,12.78,47.12
17,28,53.50,33.29,13.72,26.58,27.61,17.02
