Group,Train Day 1 Latency,Train Day 2 Latency,Train Day 3 Latency,Train Day 4 Latency,Pre-running Target Zone,Pre-running Other Zones,Post-running Target Zone,Post-running Other Zones,Pre-running Swim Speed,Post-running Swim Speed
Running,41.43,17.39,11.28,7.87,19.08,4.75,11.53,6.99,25.13,25.48
Running,59.92,43.22,6.65,9.50,21.80,6.57,6.29,8.11,26.08,25.98
Running,42.79,13.74,6.07,11.58,22.22,4.82,16.56,5.73,25.42,25.79
Running,42.22,14.30,10.68,9.55,16.35,3.84,26.00,2.73,21.59,20.88
Running,41.29,8.64,7.18,12.10,27.46,3.01,7.34,5.03,25.04,24.12
Running,59.89,50.39,26.27,14.70,14.26,6.36,4.19,5.80,25.31,25.97
Running,41.46,17.44,10.23,20.36,22.01,4.68,20.76,5.10,25.01,25.17
Running,45.92,58.53,6.35,11.05,2.52,1.05,20.76,4.75,25.35,26.91
Running,59.90,57.86,29.05,25.89,15.90,7.74,6.08,3.91,28.02,19.44
Running,59.96,19.55,15.20,10.30,29.41,4.76,1.68,3.63,23.94,23.80
Running,48.61,13.38,22.34,7.29,28.93,4.26,11.53,6.29,25.51,20.63
Running,60.00,28.22,35.24,17.48,12.37,2.59,4.61,3.07,22.65,20.10
Running,53.99,12.55,42.88,5.18,10.48,2.03,2.94,4.54,17.92,25.45
Running,41.98,5.97,14.65,12.54,25.58,2.80,3.98,5.38,21.21,21.68
Running,60.00,21.65,7.52,4.47,14.02,3.70,23.06,0.98,27.21,22.42
Sedentary,59.95,32.90,45.45,33.38,18.45,6.71,26.21,4.26,26.66,25.71
Sedentary,59.93,33.20,10.14,12.74,42.77,2.66,14.05,6.85,22.65,26.24
Sedentary,19.39,16.90,3.48,4.14,22.85,4.54,29.14,3.98,26.67,24.72
Sedentary,59.96,59.93,25.61,9.57,26.42,3.15,26.00,5.10,24.06,25.39
Sedentary,59.91,34.03,11.53,9.39,4.82,10.76,6.92,11.18,26.71,27.78
Sedentary,59.95,59.95,1.25,9.16,18.66,5.45,21.38,4.54,29.63,24.39
Sedentary,59.94,59.94,25.42,22.93,6.11,9.26,9.21,6.00,24.81,23.67
Sedentary,59.89,37.20,51.29,9.69,18.87,6.43,21.76,6.56,27.31,27.02
Sedentary,59.93,41.38,27.55,7.38,16.77,8.18,6.90,9.90,27.55,27.18
Sedentary,59.93,47.55,24.86,11.97,37.32,3.63,13.84,2.66,24.89,22.96
Sedentary,59.93,30.73,31.43,17.15,10.71,8.19,7.34,12.02,30.56,28.71
Sedentary,46.59,20.68,42.54,15.60,18.11,4.28,29.14,1.96,25.45,22.85
Sedentary,45.05,8.25,5.24,4.60,34.59,6.29,13.63,9.01,25.37,25.80
Sedentary,60.00,5.18,34.23,7.20,36.48,3.21,24.11,2.59,20.86,16.92
Sedentary,17.37,12.41,8.76,1.53,22.01,5.59,22.01,4.75,26.89,24.30
Sedentary,20.82,4.36,31.31,13.86,27.46,2.52,17.40,4.47,24.16,23.17
