Age,Group,Day,Train Min 1 Freezing,Train Min 2 Freezing,Train Min 3 Freezing,Train Min 4 Freezing,Train Min 5 Freezing,Test Freezing
P17,Shock,1,6.22,1.66,25.73,14.11,67.92,82.89
P17,Shock,1,0.00,0.00,3.32,34.44,59.58,78.23
P17,Shock,1,0.00,0.00,1.66,0.00,17.08,30.31
P17,Shock,1,0.00,0.00,4.56,29.17,42.92,44.11
P17,Shock,1,0.00,0.00,33.61,41.91,66.67,85.72
P17,Shock,28,0.00,0.00,17.01,36.51,38.75,2.24
P17,Shock,28,3.73,0.00,38.59,9.54,64.58,0.33
P17,Shock,28,18.26,31.54,43.15,68.88,29.17,1.25
P17,Shock,28,20.33,4.15,30.71,48.55,67.92,0.00
P17,Shock,28,0.00,0.00,9.13,32.78,60.00,9.21
P17,Shock,28,4.15,0.00,50.62,45.64,65.83,0.00
P17,Shock,28,0.00,0.00,16.60,72.61,27.50,3.49
P17,No shock,1,0.00,0.00,0.00,4.98,0.00,1.41
P17,No shock,1,0.00,0.00,0.00,0.00,0.00,0.33
P17,No shock,1,0.00,0.00,0.00,7.47,0.00,7.89
P17,No shock,1,3.32,10.37,1.66,1.66,3.33,11.04
P17,No shock,28,0.00,0.00,0.00,1.66,0.00,0.00
P17,No shock,28,2.07,1.66,0.00,0.00,10.83,0.00
P17,No shock,28,3.73,0.00,0.00,2.49,0.00,0.00
P17,No shock,28,1.66,0.00,7.47,1.66,4.17,0.50
P17,No shock,28,0.00,0.00,0.00,0.00,5.00,0.00
P17,No shock,28,1.66,0.00,2.49,0.00,0.00,0.00
P60,Shock,1,0.00,3.32,2.07,31.54,45.19,73.84
P60,Shock,1,0.00,0.00,4.15,20.33,85.77,83.98
P60,Shock,1,0.00,0.00,13.69,22.41,75.83,88.30
P60,Shock,1,0.00,0.00,1.66,39.00,55.42,91.87
P60,Shock,1,0.00,0.00,0.00,17.84,50.42,46.14
P60,Shock,1,0.00,0.00,0.00,0.00,18.33,85.05
P60,Shock,1,0.00,0.00,14.94,51.04,77.50,91.94
P60,Shock,1,0.00,0.00,9.96,46.89,74.17,81.48
P60,Shock,28,0.00,0.00,17.43,46.89,89.12,78.08
P60,Shock,28,0.00,0.00,15.77,49.38,89.12,86.22
P60,Shock,28,0.00,0.00,17.43,26.14,77.41,70.44
P60,Shock,28,0.00,0.00,47.72,57.68,67.36,83.81
P60,Shock,28,0.00,0.00,11.62,72.20,83.33,90.37
P60,Shock,28,0.00,0.00,10.79,54.36,81.25,32.14
P60,Shock,28,0.00,0.00,39.83,73.44,79.58,89.29
P60,Shock,28,0.00,0.00,0.00,33.61,34.17,15.10
P60,Shock,28,0.00,0.00,1.66,15.35,88.75,89.79
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,1.33
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,0.75
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,2.66
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,0.00
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,0.66
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,1.08
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,0.00
P60,No shock,1,0.00,0.00,0.00,0.00,0.00,2.50
P60,No shock,28,0.00,0.00,0.00,0.00,0.00,8.32
P60,No shock,28,0.00,0.00,0.00,0.00,0.00,8.13
P60,No shock,28,0.00,0.00,0.00,0.00,0.00,0.33
P60,No shock,28,0.00,0.00,0.00,0.00,0.00,3.32
P60,No shock,28,0.00,0.00,0.00,8.30,14.58,4.32
P60,No shock,28,0.00,0.00,0.00,1.66,0.00,3.74
P60,No shock,28,0.00,0.00,0.00,0.00,0.00,5.23
P60,No shock,28,0.00,0.00,0.00,1.66,0.00,0.33
